session_id,player_id,ping_ms,disconnected
S_9872,P_1061,41.3,0
S_9873,P_1085,53.2,0
S_9874,P_1061,25.4,0
S_9875,P_1081,39.9,0
S_9876,P_1077,55.6,0
S_9877,P_1073,47.6,1
S_9878,P_1045,59.6,0
S_9879,P_1012,31.5,0
S_9880,P_1094,12.5,0
S_9881,P_1093,43.0,0
S_9882,P_1002,45.4,0
S_9883,P_1093,60.5,0
S_9884,P_1005,57.8,0
S_9885,P_1092,48.1,0
S_9886,P_1007,51.5,0
S_9887,P_1043,37.1,0
S_9888,P_1032,21.7,0
S_9889,P_1080,41.8,0
S_9890,P_1074,54.7,0
S_9891,P_1076,49.8,0
S_9892,P_1049,52.5,0
S_9893,P_1010,33.6,0
S_9894,P_1094,36.0,0
S_9895,P_1027,47.3,0
S_9896,P_1069,31.8,0
S_9897,P_1040,32.3,0
S_9898,P_1015,44.5,0
S_9899,P_1067,51.4,0
S_9900,P_1098,37.0,0
S_9901,P_1047,22.6,0
S_9902,P_1055,29.0,0
S_9903,P_1063,43.1,0
S_9904,P_1058,42.9,0
S_9905,P_1089,43.6,0
S_9906,P_1061,47.8,0
S_9907,P_1075,40.1,0
S_9908,P_1010,44.0,0
S_9909,P_1088,39.3,0
S_9910,P_1017,57.2,0
S_9911,P_1018,61.5,0
S_9912,P_1086,22.2,0
S_9913,P_1054,36.2,0
S_9914,P_1081,40.5,0
S_9915,P_1025,36.0,0
S_9916,P_1005,66.9,0
S_9917,P_1003,43.4,0
S_9918,P_1028,27.9,0
S_9919,P_1058,48.9,0
S_9920,P_1097,44.1,0
S_9921,P_1016,44.6,1
S_9922,P_1042,67.1,0
S_9923,P_1079,45.3,0
S_9924,P_1065,35.4,0
S_9925,P_1033,10.7,0
S_9926,P_1007,37.5,0
S_9927,P_1012,59.6,0
S_9928,P_1007,38.6,0
S_9929,P_1093,10.0,0
S_9930,P_1095,32.5,0
S_9931,P_1099,54.9,0
S_9932,P_1093,48.2,0
S_9933,P_1064,27.4,0
S_9934,P_1042,31.5,0
S_9935,P_1038,33.8,1
S_9936,P_1080,30.1,0
S_9937,P_1058,10.0,0
S_9938,P_1083,51.5,0
S_9939,P_1087,58.9,0
S_9940,P_1085,17.2,0
S_9941,P_1092,58.7,0
S_9942,P_1085,38.5,0
S_9943,P_1043,58.4,0
S_9944,P_1008,40.6,0
S_9945,P_1036,42.0,0
S_9946,P_1073,45.6,0
S_9947,P_1035,28.1,1
S_9948,P_1091,57.9,0
S_9949,P_1027,23.2,1
S_9950,P_1041,255.7,0
S_9951,P_1042,339.9,1
S_9952,P_1084,884.6,0
S_9953,P_1087,381.7,0
S_9954,P_1041,869.6,0
S_9955,P_1065,423.4,0
S_9956,P_1054,714.3,0
S_9957,P_1071,755.3,0
S_9958,P_1047,610.1,0
S_9959,P_1090,444.2,0
S_9960,P_1021,370.1,0
S_9961,P_1026,226.6,0
S_9962,P_1092,443.2,0
S_9963,P_1066,722.5,0
S_9964,P_1012,950.6,0
S_9965,P_1044,897.0,0
S_9966,P_1009,812.9,0
S_9967,P_1099,830.8,0
S_9968,P_1008,732.0,0
S_9969,P_1053,408.2,0
S_9970,P_1026,925.8,0
S_9971,P_1033,736.6,0
S_9972,P_1000,648.4,0
S_9973,P_1031,288.8,0
S_9974,P_1088,557.6,0
S_9975,P_1092,568.3,0
S_9976,P_1070,891.7,0
S_9977,P_1066,637.3,0
S_9978,P_1083,504.3,0
S_9979,P_1019,981.4,0
S_9980,P_1093,288.6,0
S_9981,P_1034,538.0,0
S_9982,P_1098,233.6,1
S_9983,P_1090,791.9,0
S_9984,P_1089,934.5,1
S_9985,P_1077,424.0,0
S_9986,P_1016,886.7,0
S_9987,P_1017,433.8,0
S_9988,P_1044,928.6,0
S_9989,P_1092,803.2,0
S_9990,P_1083,843.9,0
S_9991,P_1052,214.4,0
S_9992,P_1090,970.2,1
S_9993,P_1081,781.3,0
S_9994,P_1067,443.8,0
S_9995,P_1064,863.5,0
S_9996,P_1000,425.2,0
S_9997,P_1057,898.2,0
S_9998,P_1025,290.1,0
S_9999,P_1019,762.9,1
